model,class_name,coach,quota,actual_student_count,quota_minus_actual,paid_order_count,paid_unit_count,official_revenue,official_ltv_actual_students,add_friend_rate,in_group_rate,opened_rate,revenue_rank,ltv_rank,opened_low_rank,status,confidence,visibility,source_files,note
class_performance,602期12班,知玥,69,69,0,10,10.32,30800.0,446.376812,0.971014,0.956522,0.724638,4,4,5,usable,high,internal_or_external_with_caveat,classes.csv; advanced_orders.csv; pre_camp_touch.csv,默认按官方14班实际学员数计算班级LTV。
class_performance,602期15班,曹燕,72,72,0,4,4.33,12920.0,179.444444,0.930556,0.902778,0.638889,13,13,3,usable,high,internal_or_external_with_caveat,classes.csv; advanced_orders.csv; pre_camp_touch.csv,默认按官方14班实际学员数计算班级LTV。
class_performance,602期16班,欣荣,76,76,0,9,10.32,30820.0,405.526316,1.0,0.986842,0.789474,3,5,7,usable,high,internal_or_external_with_caveat,classes.csv; advanced_orders.csv; pre_camp_touch.csv,默认按官方14班实际学员数计算班级LTV。
class_performance,602期26班,柔柔,81,81,0,9,9.33,27820.0,343.45679,0.987654,0.888889,0.728395,5,7,6,usable,high,internal_or_external_with_caveat,classes.csv; advanced_orders.csv; pre_camp_touch.csv,默认按官方14班实际学员数计算班级LTV。
class_performance,602期36班,腊梅,60,60,0,6,5.66,16880.0,281.333333,1.0,0.95,0.6,10,10,2,usable,high,internal_or_external_with_caveat,classes.csv; advanced_orders.csv; pre_camp_touch.csv,默认按官方14班实际学员数计算班级LTV。
class_performance,602期57班,木子,59,59,0,9,8.99,26820.0,454.576271,0.983051,0.966102,0.59322,6,3,1,usable,high,internal_or_external_with_caveat,classes.csv; advanced_orders.csv; pre_camp_touch.csv,默认按官方14班实际学员数计算班级LTV。
class_performance,602期75班,雅君,72,72,0,9,9.0,26820.0,372.5,1.0,0.958333,0.847222,7,6,8,usable,high,internal_or_external_with_caveat,classes.csv; advanced_orders.csv; pre_camp_touch.csv,默认按官方14班实际学员数计算班级LTV。
class_performance,602期08班,莲子,54,54,0,11,11.0,32780.0,607.037037,1.0,1.0,1.0,2,1,14,usable,high,internal_or_external_with_caveat,classes.csv; advanced_orders.csv; pre_camp_touch.csv,默认按官方14班实际学员数计算班级LTV。
class_performance,602期17班,欢欢,70,70,0,5,4.99,14900.0,212.857143,1.0,0.985714,0.971429,12,11,12,usable,high,internal_or_external_with_caveat,classes.csv; advanced_orders.csv; pre_camp_touch.csv,默认按官方14班实际学员数计算班级LTV。
class_performance,602期51班,一棵树,65,65,0,7,6.66,19860.0,305.538462,0.969231,0.953846,0.938462,9,9,11,usable,high,internal_or_external_with_caveat,classes.csv; advanced_orders.csv; pre_camp_touch.csv,默认按官方14班实际学员数计算班级LTV。
class_performance,602期60班,少芸,78,78,0,9,8.66,25820.0,331.025641,1.0,0.974359,0.987179,8,8,13,usable,high,internal_or_external_with_caveat,classes.csv; advanced_orders.csv; pre_camp_touch.csv,默认按官方14班实际学员数计算班级LTV。
class_performance,602期62班,大音希声,104,104,0,4,4.33,12920.0,124.230769,0.923077,0.865385,0.701923,14,14,4,usable,high,internal_or_external_with_caveat,classes.csv; advanced_orders.csv; pre_camp_touch.csv,默认按官方14班实际学员数计算班级LTV。
class_performance,602期63班,青青,80,79,1,12,12.66,37760.0,477.974684,0.962025,0.924051,0.911392,1,2,10,usable,high,internal_or_external_with_caveat,classes.csv; advanced_orders.csv; pre_camp_touch.csv,默认按官方14班实际学员数计算班级LTV。
class_performance,602期98班,瑞瑞,82,82,0,6,5.66,16880.0,205.853659,0.987805,0.95122,0.865854,11,12,9,usable,high,internal_or_external_with_caveat,classes.csv; advanced_orders.csv; pre_camp_touch.csv,默认按官方14班实际学员数计算班级LTV。
