model,row_type,day,label,metric_type,value,rate,denominator,display_value,display_rate,status,confidence,visibility,source_files,note
live_to_conversion,live_session,D4,第一场直播,live_attendance,540,0.528893,1021,540,52.9%,usable,high,external_with_scope_note,live_sessions_raw.csv,到课定义：首次访问类型=直播。
live_to_conversion,live_session,D4,第一场直播,live_completed_1500,416,0.407444,1021,416,40.7%,usable,high,external_with_scope_note,live_sessions_raw.csv,完课定义：直播累计观看时长>=1500秒。
live_to_conversion,live_session,D4,第一场直播,replay,66,0.064643,1021,66,6.5%,usable,high,internal_or_external_with_caveat,live_sessions_raw.csv,回放不计为直播到课。
live_to_conversion,live_session,D5,第二场直播,live_attendance,470,0.460333,1021,470,46.0%,usable,high,external_with_scope_note,live_sessions_raw.csv,到课定义：首次访问类型=直播。
live_to_conversion,live_session,D5,第二场直播,live_completed_1500,344,0.336925,1021,344,33.7%,usable,high,external_with_scope_note,live_sessions_raw.csv,完课定义：直播累计观看时长>=1500秒。
live_to_conversion,live_session,D5,第二场直播,replay,50,0.048972,1021,50,4.9%,usable,high,internal_or_external_with_caveat,live_sessions_raw.csv,回放不计为直播到课。
live_to_conversion,live_session,D6,第三场直播,live_attendance,358,0.350637,1021,358,35.1%,usable,high,external_with_scope_note,live_sessions_raw.csv,到课定义：首次访问类型=直播。
live_to_conversion,live_session,D6,第三场直播,live_completed_1500,253,0.247796,1021,253,24.8%,usable,high,external_with_scope_note,live_sessions_raw.csv,完课定义：直播累计观看时长>=1500秒。
live_to_conversion,live_session,D6,第三场直播,replay,54,0.052889,1021,54,5.3%,usable,high,internal_or_external_with_caveat,live_sessions_raw.csv,回放不计为直播到课。
live_to_conversion,conversion_cadence,D4及之前,602日单数,daily_order_units,2.99,,,2.99,,usable_with_caveat,medium,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D5,602日单数,daily_order_units,13.99,,,13.99,,usable_with_caveat,medium,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D6,602日单数,daily_order_units,20.32,,,20.32,,usable_with_caveat,medium,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D7,602日单数,daily_order_units,9.66,,,9.66,,usable_with_caveat,medium,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D8,602日单数,daily_order_units,18.65,,,18.65,,usable_with_caveat,medium,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D9,602日单数,daily_order_units,10.65,,,10.65,,usable_with_caveat,medium,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D10,602日单数,daily_order_units,13.66,,,13.66,,usable_with_caveat,medium,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D11,602日单数,daily_order_units,15.66,,,15.66,,usable_with_caveat,medium,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,后续灵活单,602日单数,daily_order_units,6.33,,,6.33,,usable_with_caveat,medium,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D4及之前,602日营业额,daily_revenue,21440.0,,,"21,440",,usable,high,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D5,602日营业额,daily_revenue,41720.0,,,"41,720",,usable,high,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D6,602日营业额,daily_revenue,60600.0,,,"60,600",,usable,high,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D7,602日营业额,daily_revenue,28800.0,,,"28,800",,usable,high,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D8,602日营业额,daily_revenue,55640.0,,,"55,640",,usable,high,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D9,602日营业额,daily_revenue,31780.0,,,"31,780",,usable,high,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D10,602日营业额,daily_revenue,40740.0,,,"40,740",,usable,high,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,D11,602日营业额,daily_revenue,46700.0,,,"46,700",,usable,high,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
live_to_conversion,conversion_cadence,后续灵活单,602日营业额,daily_revenue,18880.0,,,"18,880",,usable,high,external_with_scope_note,supplement_conversion_cadence.csv,日单数存在折算口径；日营业额更适合对外展示。
